КодТовара;Ноименование;Фабрика;Характеристика;Ед.изм.;Склад;Остаток
99980_1_60_4; PIEMME* Prestige Avorio 30x60.2 MRV318; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_3; PIEMME* Prestige Bianco 30x60.2 MRV317; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_8; PIEMME* Prestige Broccato Avorio 30x60.2 MRV322; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_7; PIEMME* Prestige Broccato Bianco 30x60.2 MRV321; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_14; PIEMME* Prestige Broccato Nero 30x60.2 MRV323; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_9; PIEMME* Prestige Broccato Rame 30x60.2 MRV324; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_11; PIEMME* Prestige Design Avorio 30x60.2 MRV326; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_10; PIEMME* Prestige Design Bianco 30x60.2 MRV325; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_5; PIEMME* Prestige Nero 30x60.2 MRV319; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_6; PIEMME* Prestige Rame 30x60.2 MRV320; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_2; PIEMME* Prestige Seta Avorio 30x60.2 MRV316; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_13; PIEMME* Prestige Seta Avorio Pav.30x30 MRV059; ***ARTPLAY; S/30x30; шт.; ЗАКАЗ; 1
99980_1_60_12; PIEMME* Prestige Seta Bianco  Pav.30x30 MRV058; ***ARTPLAY; S/30x30; шт.; ЗАКАЗ; 1
99980_1_60_1; PIEMME* Prestige Seta Bianco 30x60.2 MRV315; ***ARTPLAY; S/30x60.2; шт.; ЗАКАЗ; 1
99980_1_60_15; PIEMME* Коробка для образцов 30х60; ***ARTPLAY; ; шт.; ЗАКАЗ; 4
68140_338_75; Ancient EARTH (2.3) 30.5x30.5x1; Antic Colonial; 1/(2.3x2.3) 30.5x30.5x1; шт.; А.Люберцы; 139
68140_338_91; Ancient EARTH (2.3) 30.5x30.5x1; Antic Colonial; 1/(2.3x2.3) 30.5x30.5x1; шт.; А.Люберцы; 38
68140_350_89; Dados BLUE (2.4) 15x30x1.2; Antic Colonial; 2/(2.4x2.4) 15x30x1.2; шт.; А.Люберцы; 906
68140_350_74; Dados EARTH (2.4) 15x30x1.2; Antic Colonial; 1/(2.4x2.4) 15x30x1.2; шт.; А.Люберцы; 101
68140_350_90; Dados EARTH (2.4) 15x30x1.2; Antic Colonial; 1/(2.4x2.4) 15x30x1.2; шт.; А.Люберцы; 525
68140_350_204; Dados Perl Grey (2*2) 15x30x1.2 (G508); Antic Colonial; 1/15x30x1.2 (2*2); шт.; А.Люберцы; 287
68140_357_176; Greek NEGRO MARQUINA (2.3x9.8) 29,6x29.6; Antic Colonial; mos 6/ (2.3x9.8) 29,6x29.6; шт.; А.Люберцы; 137
68140_361_142; Imperia BROWN (1.5x1.5) 30x30; Antic Colonial; mos 12/(1.5x1.5) 30x30; шт.; А.Люберцы; 10
68140_361_215; Imperia BROWN (1.5x1.5) 30x30; Antic Colonial; mos 15/(1.5x1.5) 30x30; шт.; А.Люберцы; 45
68140_361_290; Imperia BROWN (1.5x1.5) 30x30; Antic Colonial; mos 17/(1.5x1.5) 30x30; шт.; А.Люберцы; 165
68140_361_295; Imperia BROWN (1.5x1.5) 30x30; Antic Colonial; mos 17/(1.5x1.5) 30x30; шт.; А.Люберцы; 165
68140_361_39; Imperia CARAMEL (1.5x1.5) 30x30x0.8; Antic Colonial; mos/(1.5x1.5) 30x30x0.8; шт.; А.Люберцы; 70
68140_361_239; Imperia GREYS (1.5x1.5) 30x30x0.8; Antic Colonial; mos 23/(1.5x1.5) 30x30x0.8; шт.; А.Люберцы; 66
68140_361_302; Imperia GREYS (1.5x1.5) 30x30x0.8; Antic Colonial; 31/30x30x0.8; шт.; А.Люберцы; 159
68140_361_316; Imperia GREYS (1.5x1.5) 30x30x0.8; Antic Colonial; 33/30x30x0.8; шт.; А.Люберцы; 120
68140_361_143; Imperia Mix Silver BLUE BLACKS (1.5x1.5) 29,8x29,8; Antic Colonial; mos 9/(1.5x1.5) 29,8x29,8; шт.; А.Люберцы; 41
68140_361_329; Imperia Mix Silver WHITE (1.5x1.5) 29,8x29,8; Antic Colonial; mos31/(1.5x1.5) 29,8x29,8; шт.; А.Люберцы; 79
68140_361_201; Imperia ONIX GOLDEN (1.5x1.5) 30x30; Antic Colonial; mos/(1.5x1.5) 30x30; шт.; А.Люберцы; 11
68140_361_314; Imperia ONIX GOLDEN (1.5x1.5) 30x30; Antic Colonial; mos 20/(1.5x1.5) 30x30; шт.; А.Люберцы; 76
68140_361_332; Imperia ONIX GOLDEN (1.5x1.5) 30x30; Antic Colonial; mos 21/(1.5x1.5) 30x30; шт.; А.Люберцы; 132
68140_361_216; Imperia WHITE (1.5x1.5) 30x30; Antic Colonial; mos 19/(1.5x1.5) 30x30; шт.; А.Люберцы; 6
68140_361_268; Imperia WHITE (1.5x1.5) 30x30; Antic Colonial; mos 20/(1.5x1.5) 30x30; шт.; А.Люберцы; 178
68140_382_173; Tecno GLASS COUNTRY (2.1x2.1) 29.6x29.6; Antic Colonial; mos 9/(2.1x2.1) 29.6x29.6; шт.; А.Люберцы; 72
68140_382_331; Tecno GLASS COUNTRY (2.1x2.1) 29.6x29.6; Antic Colonial; mos17 /(2.1x2.1) 29.6x29.6; шт.; А.Люберцы; 165
68140_382_303; Tecno LINEAR CREAM CAPUCCINO (1.5x9.7) 29.8x30.5; Antic Colonial; mos25 / (1.5x9.7) 29.8x30.5; шт.; А.Люберцы; 142
68140_382_95; Tecno LINEAR CREAM HABANA (1.5x9.7) 29.8x30.5; Antic Colonial; mos 54/(1.5x9.7)  29.8x30.5; шт.; А.Люберцы; 5
68140_382_172; Tecno LINEAR CREAM HABANA (1.5x9.7) 29.8x30.5; Antic Colonial; mos 58/(1.5x9.7)  29.8x30.5; шт.; А.Люберцы; 15
68140_382_285; Tecno LINEAR CREAM HABANA (1.5x9.7) 29.8x30.5; Antic Colonial; mos 5/(1.5x9.7)  29.8x30.5; шт.; А.Люберцы; 18
68140_382_304; Tecno LINEAR CREAM HABANA (1.5x9.7) 29.8x30.5; Antic Colonial; mos 5 /(1.5x9.7)  29.8x30.5; шт.; А.Люберцы; 71
68140_382_96; Tecno QUARZ MOUNTAIN  (2.1x2.1) 29.6x29.6; Antic Colonial; mos 13/(2.1x2.1) 29.6x29.6; шт.; А.Люберцы; 1
68140_382_133; Tecno QUARZ MOUNTAIN  (2.1x2.1) 29.6x29.6; Antic Colonial; mos 16/(2.1x2.1) 29.6x29.6; шт.; А.Люберцы; 42
68140_382_217; Tecno QUARZ MOUNTAIN  (2.1x2.1) 29.6x29.6; Antic Colonial; mos 21/(2.1x2.1) 29.6x29.6; шт.; А.Люберцы; 35
68140_382_330; Tecno QUARZ MOUNTAIN  (2.1x2.1) 29.6x29.6; Antic Colonial; mos 29/(2.1x2.1) 29.6x29.6; шт.; А.Люберцы; 165
68140_388_315; Treasures BRONZE EMPERADOR  (1.5x1.5) 30.1x30.1; Antic Colonial; mos 17/(1.5x1.5) 30.1x30.1; шт.; А.Люберцы; 2
68140_388_331; Treasures BRONZE EMPERADOR  (1.5x1.5) 30.1x30.1; Antic Colonial; mos 19/(1.5x1.5) 30.1x30.1; шт.; А.Люберцы; 66
68140_389_100; Tribal PEARL BLACK 28.6x28.3; Antic Colonial; 2/28.6x28.3; шт.; А.Люберцы; 44
68140_389_306; Tribal PEARL BLACK 28.6x28.3; Antic Colonial; 4/28.6x28.3; шт.; А.Люберцы; 158
68140_389_170; Tribal PEARL BROWN 28.6x28.3; Antic Colonial; 4/28.6x28.3; шт.; А.Люберцы; 3
68140_389_307; Tribal PEARL BROWN 28.6x28.3; Antic Colonial; 9/28.6x28.3; шт.; А.Люберцы; 3
68140_389_307; Tribal PEARL BROWN 28.6x28.3; Antic Colonial; 9/28.6x28.3; шт.; ЗАКАЗ; 45
68140_389_308; Tribal PEARL BROWN 28.6x28.3; Antic Colonial; 16/28.6x28.3; шт.; А.Люберцы; 120
68140_389_102; Tribal PEARL WHITE 28.6x28.3; Antic Colonial; 2/28.6x28.3; шт.; А.Люберцы; 10
68140_389_169; Tribal PEARL WHITE 28.6x28.3; Antic Colonial; 8/28.6x28.3; шт.; А.Люберцы; 29
68140_393_72; Bombay NATURAL home bpt  30x60x1.2; Antic Colonial; 1/30x60x1.2; м2; А.Люберцы; 10.44
68147_617_545; Carpet SAND 50x100 Nat; Aparici; A/K3/50x100; м2; А.Люберцы; 2
68147_617_552; Carpet SAND 50x100 Nat; Aparici; A/K3/50x100; м2; А.Люберцы; 0.5
